city,blood_type,quantity,qValue,date
Wałbrzych,B Rh+,Full,100,29-08-2022
Wałbrzych,B Rh-,Optimal,90,29-08-2022
Wałbrzych,AB Rh+,Full,100,29-08-2022
Wałbrzych,AB Rh-,Full,100,29-08-2022
Warszawa,0 Rh+,Optimal,90,29-08-2022
Warszawa,0 Rh-,Medium,50,29-08-2022
Warszawa,A Rh+,Optimal,90,29-08-2022
Warszawa,A Rh-,Optimal,90,29-08-2022
Warszawa,B Rh+,Optimal,90,29-08-2022
Warszawa,B Rh-,Very low,5,29-08-2022
Warszawa,AB Rh+,Optimal,90,29-08-2022
Warszawa,AB Rh-,Medium,50,29-08-2022
Wrocław,0 Rh+,Very low,5,29-08-2022
Wrocław,0 Rh-,Very low,5,29-08-2022
Wrocław,A Rh+,Optimal,90,29-08-2022
Wrocław,A Rh-,Medium,50,29-08-2022
Wrocław,B Rh+,Full,100,29-08-2022
Wrocław,B Rh-,Very low,5,29-08-2022
Wrocław,AB Rh+,Optimal,90,29-08-2022
Wrocław,AB Rh-,Optimal,90,29-08-2022
Zielona Góra,0 Rh+,Full,100,29-08-2022
Zielona Góra,0 Rh-,Very low,5,29-08-2022
Zielona Góra,A Rh+,Full,100,29-08-2022
Zielona Góra,A Rh-,Very low,5,29-08-2022
Zielona Góra,B Rh+,Optimal,90,29-08-2022
Zielona Góra,B Rh-,Very low,5,29-08-2022
Zielona Góra,AB Rh+,Full,100,29-08-2022
Zielona Góra,AB Rh-,Very low,5,29-08-2022
Białystok,0 Rh+,Medium,50,30-08-2022
Białystok,0 Rh-,Very low,5,30-08-2022
Białystok,A Rh+,Medium,50,30-08-2022
Białystok,A Rh-,Very low,5,30-08-2022
Białystok,B Rh+,Medium,50,30-08-2022
Białystok,B Rh-,Medium,50,30-08-2022
Białystok,AB Rh+,Medium,50,30-08-2022
Białystok,AB Rh-,Optimal,90,30-08-2022
Bydgoszcz,0 Rh+,Medium,50,30-08-2022
Bydgoszcz,0 Rh-,Very low,5,30-08-2022
Bydgoszcz,A Rh+,Optimal,90,30-08-2022
Bydgoszcz,A Rh-,Optimal,90,30-08-2022
Bydgoszcz,B Rh+,Medium,50,30-08-2022
Bydgoszcz,B Rh-,Medium,50,30-08-2022
Bydgoszcz,AB Rh+,Optimal,90,30-08-2022
Bydgoszcz,AB Rh-,Optimal,90,30-08-2022
Gdańsk,0 Rh+,Medium,50,30-08-2022
Gdańsk,0 Rh-,Very low,5,30-08-2022
Gdańsk,A Rh+,Full,100,30-08-2022
Gdańsk,A Rh-,Medium,50,30-08-2022
Gdańsk,B Rh+,Medium,50,30-08-2022
Gdańsk,B Rh-,Medium,50,30-08-2022
Gdańsk,AB Rh+,Full,100,30-08-2022
Gdańsk,AB Rh-,Medium,50,30-08-2022
Kalisz,0 Rh+,Very low,5,30-08-2022
Kalisz,0 Rh-,Very low,5,30-08-2022
Kalisz,A Rh+,Medium,50,30-08-2022
Kalisz,A Rh-,Very low,5,30-08-2022
Kalisz,B Rh+,Optimal,90,30-08-2022
Kalisz,B Rh-,Very low,5,30-08-2022
Kalisz,AB Rh+,Medium,50,30-08-2022
Kalisz,AB Rh-,Very low,5,30-08-2022
Katowice,0 Rh+,Full,100,30-08-2022
Katowice,0 Rh-,Medium,50,30-08-2022
Katowice,A Rh+,Full,100,30-08-2022
Katowice,A Rh-,Medium,50,30-08-2022
Katowice,B Rh+,Full,100,30-08-2022
Katowice,B Rh-,Full,100,30-08-2022
Katowice,AB Rh+,Full,100,30-08-2022
Katowice,AB Rh-,Full,100,30-08-2022
Kielce,0 Rh+,Very low,5,30-08-2022
Kielce,0 Rh-,Very low,5,30-08-2022
Kielce,A Rh+,Full,100,30-08-2022
Kielce,A Rh-,Very low,5,30-08-2022
Kielce,B Rh+,Optimal,90,30-08-2022
Kielce,B Rh-,Optimal,90,30-08-2022
Kielce,AB Rh+,Full,100,30-08-2022
Kielce,AB Rh-,Optimal,90,30-08-2022
Kraków,0 Rh+,Medium,50,30-08-2022
Kraków,0 Rh-,Full,100,30-08-2022
Kraków,A Rh+,Full,100,30-08-2022
Kraków,A Rh-,Optimal,90,30-08-2022
Kraków,B Rh+,Medium,50,30-08-2022
Kraków,B Rh-,Full,100,30-08-2022
Kraków,AB Rh+,Full,100,30-08-2022
Kraków,AB Rh-,Medium,50,30-08-2022
Lublin,0 Rh+,Very low,5,30-08-2022
Lublin,0 Rh-,Very low,5,30-08-2022
Lublin,A Rh+,Full,100,30-08-2022
Lublin,A Rh-,Very low,5,30-08-2022
Lublin,B Rh+,Medium,50,30-08-2022
Lublin,B Rh-,Medium,50,30-08-2022
Lublin,AB Rh+,Full,100,30-08-2022
Lublin,AB Rh-,Optimal,90,30-08-2022
Łódź,0 Rh+,Medium,50,30-08-2022
Łódź,0 Rh-,Optimal,90,30-08-2022
Łódź,A Rh+,Optimal,90,30-08-2022
Łódź,A Rh-,Very low,5,30-08-2022
Łódź,B Rh+,Very low,5,30-08-2022
Łódź,B Rh-,Very low,5,30-08-2022
Łódź,AB Rh+,Optimal,90,30-08-2022
